address,type,zip_code,city,price,living_area,plot_size,rooms,href
Jachtlaan 84,woonhuis,7313 EA,Apeldoorn,749000,162 ,705 ,7,/en/koop/apeldoorn/huis-42976922-jachtlaan-84/
Winterheide 17,woonhuis,5971 GD,Grubbenvorst,625000,192 ,675 ,8,/en/koop/grubbenvorst/huis-42976928-winterheide-17/
Eekhoornpad 22,woonhuis,5111 DZ,Baarle-Nassau,595000,182 ,634 ,7,/en/koop/baarle-nassau/huis-42976067-eekhoornpad-22/
Planetenlaan 2 a,woonhuis,1771 BZ,Wieringerwerf,450000,233 ,209 ,7,/en/koop/wieringerwerf/huis-88330583-planetenlaan-2-a/
Noorderweg 26 *,woonhuis,9363 TA,Marum,420000,123 ,2723 ,4,/en/koop/marum/huis-88330589-noorderweg-26/
Paulsstraat,woonhuis,6011 NB,Ell,670000,185 ,667 ,4,/en/koop/ell/huis-42976069-paulsstraat/
Beukenlaan 3,woonhuis,7931 TG,Fluitenberg,1150000,249 ,5500 ,7,/en/koop/fluitenberg/huis-88331258-beukenlaan-3/
van Limburg Stirumstraat 71,woonhuis,7901 AP,Hoogeveen,497500,145 ,507 ,5,/en/koop/hoogeveen/huis-42976023-van-limburg-stirumstraat-71/
Nekkerweg 73,woonhuis,1461 LG,Zuidoostbeemster,800000,203 ,885 ,5,/en/koop/zuidoostbeemster/huis-42977598-nekkerweg-73/
Torenlaan 2,woonhuis,3043 BS,Rotterdam,555000,115 ,174 ,5,/en/koop/rotterdam/huis-42976046-torenlaan-2/
Oosterdijk 14 E,woonhuis,1601 DA,Enkhuizen,600000,118 ,17620 ,5,/en/koop/enkhuizen/huis-42977643-oosterdijk-14-e/
Marga Klomp¨¦straat 51,woonhuis,5142 MD,Waalwijk,299000,106 ,135 ,4,/en/koop/waalwijk/huis-42976140-marga-klompestraat-51/
Nieuwmoerseweg 34 *,woonhuis,4885 KK,Achtmaal,1195000,276 ,8570 ,6,/en/koop/achtmaal/huis-42976296-nieuwmoerseweg-34/
Weverstraat 27,woonhuis,4061 AP,Ophemert,519000,153 ,314 ,5,/en/koop/ophemert/huis-42977742-weverstraat-27/
Jacob van Lenneplaan 2,woonhuis,2012 PL,Haarlem,2625000,345 ,1045 ,10,/en/koop/haarlem/huis-42976232-jacob-van-lenneplaan-2/
Schapedel 4,woonhuis,2202 VC,Noordwijk (ZH),439500,124 ,148 ,5,/en/koop/noordwijk-zh/huis-88331012-schapedel-4/
's-Gravenbroekseweg 15 a,woonhuis,2811 GA,Reeuwijk,1850000,218 ,1635 ,7,/en/koop/reeuwijk/huis-42976357-s-gravenbroekseweg-15-a/
Sint Janstraat 3,woonhuis,4551 LK,Sas van Gent,154500,91 ,146 ,4,/en/koop/sas-van-gent/huis-88331025-sint-janstraat-3/
Kanaaldijk 9,woonhuis,1458 PP,Spijkerboor (NH),399000,87 ,210 ,4,/en/koop/spijkerboor-nh/huis-42977402-kanaaldijk-9/
Bakenessergracht 105,woonhuis,2011 JV,Haarlem,1595000,188 ,56 ,6,/en/koop/haarlem/huis-42977445-bakenessergracht-105/
Herenhuizen (Bouwnr. 2),woonhuis,4463 LA,Goes,480000,123 ,196 ,6,/en/koop/goes/huis-42977422-herenhuizen-bouwnr-2/
Gildestraat 9,woonhuis,4541 GG,Sluiskil,449000,146 ,537 ,4,/en/koop/sluiskil/huis-88331136-gildestraat-9/
Kerkhoflaan 10,woonhuis,1462 JH,Middenbeemster,595000,112 ,430 ,3,/en/koop/middenbeemster/huis-42977531-kerkhoflaan-10/
Krombekstraat 230,woonhuis,1104 KT,Amsterdam,425000,99 ,86 ,3,/en/koop/amsterdam/huis-42977607-krombekstraat-230/
Ponylaan 19,woonhuis,6681 AJ,Bemmel,695000,126 ,805 ,4,/en/koop/bemmel/huis-42977625-ponylaan-19/
Iependijk 6,woonhuis,7471 BH,Goor,299500,109 ,394 ,4,/en/koop/goor/huis-42977619-iependijk-6/
Buurschappenlaan 99,woonhuis,5235 EB,Den Bosch,439000,132 ,139 ,5,/en/koop/den-bosch/huis-42977632-buurschappenlaan-99/
Veldwijk 5 -70,woonhuis,3853 LC,Ermelo,0,1099 ,2606 ,26,/en/koop/ermelo/huis-88331319-veldwijk-5-70/
Oude Nijkerkerweg 50,woonhuis,3853 JT,Ermelo,0,85 ,3008 ,5,/en/koop/ermelo/huis-88331297-oude-nijkerkerweg-50/
Cob Balkplein 40,woonhuis,3945 ER,Cothen,469000,143 ,169 ,6,/en/koop/cothen/huis-88331572-cob-balkplein-40/
Eendracht 21,woonhuis,5751 SB,Deurne,737500,235 ,751 ,9,/en/koop/deurne/huis-42977826-eendracht-21/
Nieuwestraat 32,woonhuis,3291 AR,Strijen,595000,147 ,845 ,6,/en/koop/strijen/huis-42977935-nieuwestraat-32/
Meulenspie 53,woonhuis,4847 TK,Teteringen,998000,174 ,438 ,6,/en/koop/teteringen/huis-42977573-meulenspie-53/
Herenweg 143,woonhuis,1822 AD,Alkmaar,1175000,196 ,1290 ,8,/en/koop/alkmaar/huis-42977452-herenweg-143/
Winterdijk 59,woonhuis,6851 MT,Huissen,375000,105 ,124 ,4,/en/koop/huissen/huis-42977442-winterdijk-59/
De Gruttenmaat 31,woonhuis,7667 TH,Reutum,585000,205 ,495 ,6,/en/koop/reutum/huis-42976352-de-gruttenmaat-31/
Kromwijkerkade 27,woonhuis,3442 EH,Woerden,550000,116 ,153 ,5,/en/koop/woerden/huis-42976334-kromwijkerkade-27/
Vignolaweg 2,woonhuis,5624 CG,Eindhoven,485000,154 ,318 ,7,/en/koop/eindhoven/huis-42976138-vignolaweg-2/
Taalstraat 154,woonhuis,5261 BJ,Vught,1100000,218 ,545 ,6,/en/koop/vught/huis-42976129-taalstraat-154/
Rozenlaan 3,woonhuis,3941 ZR,Doorn,475000,97 ,228 ,4,/en/koop/doorn/huis-42976183-rozenlaan-3/
Achterste Erm 4,woonhuis,7843 TC,Erm,950000,240 ,2576 ,7,/en/koop/erm/huis-42976013-achterste-erm-4/
Zandweg 212,woonhuis,1531 AV,Wormer,750000,144 ,794 ,5,/en/koop/wormer/huis-42976004-zandweg-212/
Zwaluwlaan 10,woonhuis,6713 BE,Ede,500000,141 ,227 ,6,/en/koop/ede/huis-42976921-zwaluwlaan-10/
Marten Putstraat 6,woonhuis,6971 AD,Brummen,449000,159 ,384 ,5,/en/koop/brummen/huis-42976929-marten-putstraat-6/
Weg acker 17,woonhuis,1965 TE,Heemskerk,639000,151 ,193 ,7,/en/koop/heemskerk/huis-42976985-weg-acker-17/
Bongweg 77,woonhuis,3192 NA,Hoogvliet Rotterdam,367500,130 ,222 ,6,/en/koop/hoogvliet-rotterdam/huis-42976894-bongweg-77/
Brembos 20,woonhuis,4854 KZ,Bavel (Gem. Breda),675000,145 ,698 ,4,/en/koop/bavel-gem-breda/huis-42975477-brembos-20/
Feanhout 32,woonhuis,9269 VL,Feanwalden,395000,126 ,478 ,4,/en/koop/feanwalden/huis-42977627-feanhout-32/
Palingstraat 10,woonhuis,4381 AG,Vlissingen,495000,219 ,205 ,5,/en/koop/vlissingen/huis-42976328-palingstraat-10/
Nieuwebrugsteeg 2,woonhuis,2311 JX,Leiden,295000,74 ,36 ,4,/en/koop/leiden/huis-88330918-nieuwebrugsteeg-2/
Kraaierstraat 19,woonhuis,2311 NR,Leiden,450000,143 ,65 ,5,/en/koop/leiden/huis-88330891-kraaierstraat-19/
Hogewoerd 81,woonhuis,2311 HH,Leiden,525000,121 ,63 ,7,/en/koop/leiden/huis-88330810-hogewoerd-81/
Munkedyk 23,woonhuis,8611 JP,Gaastmeer,1450000,461 ,2381 ,9,/en/koop/gaastmeer/huis-42977673-munkedyk-23/
De Sitterlaan 16,woonhuis,3572 ZL,Utrecht,615000,135 ,150 ,6,/en/koop/utrecht/huis-42975946-de-sitterlaan-16/
Willem-Alexanderstraat 23,woonhuis,4388 HZ,Oost-Souburg,385000,134 ,289 ,7,/en/koop/oost-souburg/huis-42975808-willem-alexanderstraat-23/
Tuinbouwweg 2,woonhuis,9909 BC,Spijk (GR),435000,164 ,1585 ,7,/en/koop/spijk-gr/huis-42977878-tuinbouwweg-2/
Noorderstraat 15,woonhuis,9611 AA,Sappemeer,625000,240 ,1220 ,7,/en/koop/sappemeer/huis-42976523-noorderstraat-15/
Singelkade 74,woonhuis,3241 DG,Middelharnis,450000,140 ,132 ,6,/en/koop/middelharnis/huis-88339151-singelkade-74/
Leendert Butterstraat 20,woonhuis,3062 XN,Rotterdam,995000,168 ,259 ,6,/en/koop/rotterdam/huis-42964008-leendert-butterstraat-20/
Tussendijken 14,woonhuis,9251 LW,Burgum,825000,304 ,1661 ,11,/en/koop/burgum/huis-42977735-tussendijken-14/
Corversbos 167,woonhuis,2134 MD,Hoofddorp,385000,105 ,105 ,4,/en/koop/hoofddorp/huis-42977667-corversbos-167/
Groesbeekseweg 105,woonhuis,6524 CT,Nijmegen,725000,212 ,204 ,9,/en/koop/nijmegen/huis-88330712-groesbeekseweg-105/
Sint Servatiusstraat 13 - 15,woonhuis,5473 GA,Heeswijk-Dinther,950000,200 ,3772 ,1,/en/koop/heeswijk-dinther/huis-42976244-sint-servatiusstraat-13-15/
Lijsterbeslaan 7,woonhuis,5263 EP,Vught,1295000,259 ,734 ,11,/en/koop/vught/huis-88330866-lijsterbeslaan-7/
De Boorne 15,woonhuis,8939 BS,Leeuwarden,597500,184 ,703 ,5,/en/koop/leeuwarden/huis-88331582-de-boorne-15/
Rigtersbleekstraat 51,woonhuis,7521 GJ,Enschede,249000,89 ,174 ,4,/en/koop/enschede/huis-88331635-rigtersbleekstraat-51/
Stroom-Eschlaan 98,woonhuis,7623 CX,Borne,550000,186 ,289 ,6,/en/koop/borne/huis-42977047-stroom-eschlaan-98/
De Meidoorn 5,woonhuis,7958 NB,Koekange,500000,168 ,750 ,5,/en/koop/koekange/huis-42977117-de-meidoorn-5/
Emmerzeelstraat 6,woonhuis,1911 SN,Uitgeest,425000,153 ,144 ,7,/en/koop/uitgeest/huis-42977313-emmerzeelstraat-6/
Schipbeekstraat 1,woonhuis,7607 LR,Almelo,549000,104 ,643 ,9,/en/koop/almelo/huis-42878839-schipbeekstraat-1/
Parklaan 1,woonhuis,7822 EA,Emmen,425000,168 ,454 ,6,/en/koop/emmen/huis-42978574-parklaan-1/
Korenland 20,woonhuis,3958 EZ,Amerongen,339000,74 ,113 ,4,/en/koop/amerongen/huis-88332079-korenland-20/
Joan van Broekhuizenlaan 31,woonhuis,1187 BG,Amstelveen,700000,135 ,132 ,6,/en/koop/amstelveen/huis-42978483-joan-van-broekhuizenlaan-31/
Groenlandstraat 10,woonhuis,1060 MG,Amsterdam,699000,164 ,119 ,5,/en/koop/amsterdam/huis-88331661-groenlandstraat-10/
Torenweg 29,woonhuis,3235 NS,Rockanje,1499000,246 ,2000 ,5,/en/koop/rockanje/huis-42977029-torenweg-29/
Mandenmakersstraat 9,woonhuis,6107 BR,Stevensweert,775000,281 ,585 ,8,/en/koop/stevensweert/huis-88332268-mandenmakersstraat-9/
Pieter Zeemanlaan 31,woonhuis,8024 CH,Zwolle,500000,133 ,246 ,5,/en/koop/zwolle/huis-42977049-pieter-zeemanlaan-31/
Jacques Bloemhof 46,woonhuis,1628 VN,Hoorn (NH),465000,119 ,224 ,3,/en/koop/hoorn-nh/huis-88332288-jacques-bloemhof-46/
Arkelse Onderweg 26,woonhuis,4206 AH,Gorinchem,450000,218 ,235 ,6,/en/koop/gorinchem/huis-42978734-arkelse-onderweg-26/
De Eendracht 66,woonhuis,1188 GT,Amstelveen,475000,83 ,129 ,5,/en/koop/amstelveen/huis-42977176-de-eendracht-66/
Jan Oldenburgerstraat E 98,woonhuis,9663 RW,Nieuwe Pekela,599000,201 ,6280 ,7,/en/koop/nieuwe-pekela/huis-42976420-jan-oldenburgerstraat-e-98/
Vliersingel 90,woonhuis,5754 DS,Deurne,749000,222 ,565 ,7,/en/koop/deurne/huis-42977100-vliersingel-90/
Vuile Riete 34,woonhuis,7925 PM,Linde,650000,283 ,2800 ,6,/en/koop/linde/huis-42977131-vuile-riete-34/
Mozartstraat 4,woonhuis,2901 ET,Capelle aan den IJssel,559000,165 ,149 ,6,/en/koop/capelle-aan-den-ijssel/huis-42977135-mozartstraat-4/
Benedenberg 15,woonhuis,2861 LC,Bergambacht,945000,148 ,8650 ,6,/en/koop/bergambacht/huis-42977130-benedenberg-15/
Lange Voorhout (Bouwnr. 397),woonhuis,1787 DC,Julianadorp,395000,171 ,,6,/en/koop/julianadorp/huis-42977291-lange-voorhout-bouwnr-397/
Slotstraat (Bouwnr. 420),woonhuis,1787 DC,Julianadorp,490000,150 ,,6,/en/koop/julianadorp/huis-42977290-slotstraat-bouwnr-420/
Slotstraat (Bouwnr. 427),woonhuis,1787 DC,Julianadorp,340000,122 ,,6,/en/koop/julianadorp/huis-42977288-slotstraat-bouwnr-427/
Lange Voorhout (Bouwnr. 399),woonhuis,1787 DC,Julianadorp,370000,147 ,,6,/en/koop/julianadorp/huis-42977287-lange-voorhout-bouwnr-399/
Soestdijk (Bouwnr. 389),woonhuis,1787 DC,Julianadorp,560000,169 ,,6,/en/koop/julianadorp/huis-42977286-soestdijk-bouwnr-389/
Akkerbouwstraat (Bouwnr. 374),woonhuis,1787 DC,Julianadorp,585000,170 ,,7,/en/koop/julianadorp/huis-42977283-akkerbouwstraat-bouwnr-374/
Soestdijk (Bouwnr. 386),woonhuis,1787 DC,Julianadorp,446500,133 ,,6,/en/koop/julianadorp/huis-42977261-soestdijk-bouwnr-386/
Lange Voorhout (Bouwnr. 390),woonhuis,1787 DC,Julianadorp,335000,133 ,,6,/en/koop/julianadorp/huis-42977151-lange-voorhout-bouwnr-390/
Lange Voorhout (Bouwnr. 414),woonhuis,1787 DC,Julianadorp,309000,135 ,,6,/en/koop/julianadorp/huis-42977156-lange-voorhout-bouwnr-414/
Soestdijk (Bouwnr. 385),woonhuis,1787 DC,Julianadorp,595000,176 ,,6,/en/koop/julianadorp/huis-42977146-soestdijk-bouwnr-385/
Wezenland 186,woonhuis,1531 LT,Wormer,400000,109 ,165 ,5,/en/koop/wormer/huis-42977225-wezenland-186/
De Nevelhorststraat 14,woonhuis,1333 ZH,Almere,430000,134 ,199 ,6,/en/koop/almere/huis-88332455-de-nevelhorststraat-14/
Voorstraat 164,woonhuis,3311 ES,Dordrecht,650000,200 ,108 ,6,/en/koop/dordrecht/huis-42977250-voorstraat-164/
Hoofdweg 191,woonhuis,9697 NG,Blijham,399000,157 ,725 ,6,/en/koop/blijham/huis-42978699-hoofdweg-191/
Boekweitakkers 8,woonhuis,7681 LL,Vroomshoop,465000,206 ,405 ,7,/en/koop/vroomshoop/huis-88331920-boekweitakkers-8/
Burgemeester van Rijnsingel 4,woonhuis,5913 AM,Venlo,785000,270 ,405 ,8,/en/koop/venlo/huis-88331938-burgemeester-van-rijnsingel-4/
Wielewaal 4,woonhuis,3435 AP,Nieuwegein,419000,131 ,129 ,5,/en/koop/nieuwegein/huis-88331943-wielewaal-4/
Hoflaan 4,woonhuis,7597 LS,Saasveld,395000,172 ,688 ,7,/en/koop/saasveld/huis-42978674-hoflaan-4/
Vosseveldlaan 6 A,woonhuis,3768 GM,Soest,1565000,268 ,1145 ,9,/en/koop/soest/huis-42977333-vosseveldlaan-6-a/
Boompjes 13,woonhuis,3752 CE,Bunschoten-Spakenburg,650000,142 ,395 ,5,/en/koop/bunschoten-spakenburg/huis-42977351-boompjes-13/
A (Bouwnr. 1),woonhuis,6224 CJ,Maastricht,664800,142 ,,6,/en/koop/maastricht/huis-42977338-a-bouwnr-1/
Type C (Bouwnr. 7),woonhuis,6224 CJ,Maastricht,664800,153 ,,6,/en/koop/maastricht/huis-42977346-type-c-bouwnr-7/
Type D (Bouwnr. 4),woonhuis,6224 CJ,Maastricht,639800,148 ,,6,/en/koop/maastricht/huis-42977330-type-d-bouwnr-4/
Burgemeester Disselkoenlaan 24,woonhuis,2678 DW,De Lier,400000,128 ,96 ,5,/en/koop/de-lier/huis-88332692-burgemeester-disselkoenlaan-24/
Meentweg 73,woonhuis,3755 PB,Eemnes,2145000,316 ,5680 ,9,/en/koop/eemnes/huis-42978405-meentweg-73/
Carmelietenstraat 37,woonhuis,5165 AJ,Waspik,595000,120 ,367 ,4,/en/koop/waspik/huis-88332745-carmelietenstraat-37/
Bouwnummer - Midden (Bouwnr. 66),woonhuis,1358 EL,Almere,940000,146 ,1697 ,7,/en/koop/almere/huis-42978436-bouwnummer-midden-bouwnr-66/
Dorpsstraat 15,woonhuis,3751 EM,Bunschoten-Spakenburg,1150000,229 ,555 ,8,/en/koop/bunschoten-spakenburg/huis-42978451-dorpsstraat-15/
Haverstraat 53,woonhuis,3882 GX,Putten,465000,140 ,245 ,5,/en/koop/putten/huis-88332083-haverstraat-53/
Duitlaan 8,woonhuis,5237 NB,Den Bosch,989000,213 ,1165 ,6,/en/koop/den-bosch/huis-42978137-duitlaan-8/
van Berckenrodelaan 66,woonhuis,5141 AV,Waalwijk,285000,98 ,139 ,7,/en/koop/waalwijk/huis-42978277-van-berckenrodelaan-66/
Emmastraat 94,woonhuis,7941 HS,Meppel,619500,182 ,255 ,7,/en/koop/meppel/huis-42978221-emmastraat-94/
Hof van Weerdenburg - 2 onder 1 kap woning (Bouwnr. 4),woonhuis,3985 SE,Werkhoven,740000,154 ,,4,/en/koop/werkhoven/huis-42978539-hof-van-weerdenburg-2-onder-1-kap-woning-bouwnr-4/
Nijeberkoperweg 1 a,woonhuis,8411 CN,Jubbega,375000,101 ,515 ,4,/en/koop/jubbega/huis-42978265-nijeberkoperweg-1-a/
Segerserf 7,woonhuis,3828 LC,Hoogland,500000,103 ,216 ,4,/en/koop/hoogland/huis-42978648-segerserf-7/
Geelvinkbaai 52,woonhuis,2904 BC,Capelle aan den IJssel,415000,130 ,134 ,5,/en/koop/capelle-aan-den-ijssel/huis-88332266-geelvinkbaai-52/
Hogesteeg 22,woonhuis,5324 AD,Ammerzoden,449000,171 ,400 ,7,/en/koop/ammerzoden/huis-42978627-hogesteeg-22/
Eiland 2,woonhuis,6107 CA,Stevensweert,575000,238 ,600 ,4,/en/koop/stevensweert/huis-42978628-eiland-2/
Mauritslaan 5,woonhuis,5707 CM,Helmond,595000,147 ,476 ,7,/en/koop/helmond/huis-42978789-mauritslaan-5/
Sterrenboschlaan 20,woonhuis,9648 MJ,Wildervank,515000,172 ,470 ,5,/en/koop/wildervank/huis-88332554-sterrenboschlaan-20/
Prins Bernhardweg 6 A,woonhuis,6862 ZG,Oosterbeek,967500,215 ,640 ,9,/en/koop/oosterbeek/huis-42979669-prins-bernhardweg-6-a/
Koningslaan 30 b,woonhuis,1405 GM,Bussum,1595000,219 ,680 ,8,/en/koop/bussum/huis-42978741-koningslaan-30-b/
Soestdijk (Bouwnr. 388),woonhuis,1787 DC,Julianadorp,575000,177 ,,7,/en/koop/julianadorp/huis-42978749-soestdijk-bouwnr-388/
Texellaan 35,woonhuis,2809 SB,Gouda,579000,147 ,129 ,7,/en/koop/gouda/huis-42961311-texellaan-35/
Hoofdstraat 143,woonhuis,6674 BB,Herveld,427500,125 ,405 ,3,/en/koop/herveld/huis-42978891-hoofdstraat-143/
Staartmolen 19,woonhuis,4133 GA,Vianen (UT),500000,142 ,257 ,6,/en/koop/vianen-ut/huis-42978800-staartmolen-19/
De Stringen 25,woonhuis,9162 EX,Ballum,390000,130 ,324 ,7,/en/koop/ballum/huis-42979535-de-stringen-25/
Stationsweg 13,woonhuis,3214 VJ,Zuidland,529000,167 ,1000 ,5,/en/koop/zuidland/huis-88332492-stationsweg-13/
Purmerland 14,woonhuis,1448 MD,Purmerend,795000,118 ,1035 ,5,/en/koop/purmerend/huis-42978823-purmerland-14/
Molenaar 9,woonhuis,3171 HJ,Poortugaal,335000,106 ,122 ,5,/en/koop/poortugaal/huis-42979774-molenaar-9/
Kerkstraat 5,woonhuis,4926 CT,Lage Zwaluwe,695000,231 ,733 ,8,/en/koop/lage-zwaluwe/huis-88333187-kerkstraat-5/
Verlengde van Steenbergenlaan 23,woonhuis,4537 BB,Terneuzen,579000,250 ,174 ,5,/en/koop/terneuzen/huis-88332533-verlengde-van-steenbergenlaan-23/
Farmsumerweg 105,woonhuis,9902 BP,Appingedam,250000,120 ,774 ,6,/en/koop/appingedam/huis-42979608-farmsumerweg-105/
Buorren 37,woonhuis,8624 TL,Uitwellingerga,1850000,339 ,1584 ,9,/en/koop/uitwellingerga/huis-42979752-buorren-37/
Pastoor van Luenenstraat 6,woonhuis,3256 AT,Achthuizen,450000,126 ,409 ,5,/en/koop/achthuizen/huis-88332681-pastoor-van-luenenstraat-6/
Stationsweg 193,woonhuis,9201 GM,Drachten,265000,103 ,310 ,4,/en/koop/drachten/huis-42979919-stationsweg-193/
Groelsstraat 5,woonhuis,6013 RL,Hunsel,319000,111 ,610 ,7,/en/koop/hunsel/huis-42978168-groelsstraat-5/
Europalaan-West 15,woonhuis,6075 AV,Herkenbosch,325000,171 ,210 ,7,/en/koop/herkenbosch/huis-42978179-europalaan-west-15/
Henckenshagestraat 7,woonhuis,4834 KX,Breda,625000,173 ,328 ,6,/en/koop/breda/huis-42979841-henckenshagestraat-7/
Hoofdweg-Zuid 27,woonhuis,9909 BA,Spijk (GR),375000,132 ,526 ,5,/en/koop/spijk-gr/huis-42978287-hoofdweg-zuid-27/
Paardebloemlaan 1,woonhuis,9413 AM,Beilen,579000,173 ,414 ,6,/en/koop/beilen/huis-42978258-paardebloemlaan-1/
Bilderdijkstraat 36,woonhuis,3751 EX,Bunschoten-Spakenburg,735000,186 ,336 ,5,/en/koop/bunschoten-spakenburg/huis-88333263-bilderdijkstraat-36/
Weststraat 79,woonhuis,4527 BS,Aardenburg,369000,198 ,160 ,6,/en/koop/aardenburg/huis-88332945-weststraat-79/
Boulevard Heuvelink 130,woonhuis,6828 KW,Arnhem,885000,296 ,263 ,12,/en/koop/arnhem/huis-42978335-boulevard-heuvelink-130/
Horlo 57,woonhuis,3891 BK,Zeewolde,325000,93 ,139 ,5,/en/koop/zeewolde/huis-88333140-horlo-57/
Noordweststraat 3,woonhuis,4551 CA,Sas van Gent,185000,150 ,330 ,6,/en/koop/sas-van-gent/huis-42979501-noordweststraat-3/
Kleidijk 108,woonhuis,3161 EK,Rhoon,925000,199 ,1330 ,5,/en/koop/rhoon/huis-88333324-kleidijk-108/
Aldendriel 1,woonhuis,5653 PG,Eindhoven,395000,126 ,256 ,4,/en/koop/eindhoven/huis-88333283-aldendriel-1/
Giezenveld 22,woonhuis,7051 GE,Varsseveld,549000,128 ,7455 ,5,/en/koop/varsseveld/huis-42979764-giezenveld-22/
Naarderweg 48,woonhuis,1261 BV,Blaricum,1495000,188 ,1028 ,5,/en/koop/blaricum/huis-42979728-naarderweg-48/
Slikkenburghof 6,woonhuis,5035 JK,Tilburg,585000,210 ,388 ,6,/en/koop/tilburg/huis-42979866-slikkenburghof-6/
Albert Sommerstraat 8,woonhuis,7558 DW,Hengelo (OV),520000,144 ,497 ,9,/en/koop/hengelo-ov/huis-42979751-albert-sommerstraat-8/
Snavel van Emekamp 32,woonhuis,8014 CT,Zwolle,485000,132 ,227 ,5,/en/koop/zwolle/huis-88333421-snavel-van-emekamp-32/
Boerenzwaluw 52,woonhuis,5731 SL,Mierlo,525000,161 ,280 ,5,/en/koop/mierlo/huis-42979913-boerenzwaluw-52/
Prins Constantijnlaan 10,woonhuis,5582 KJ,Waalre,1825000,228 ,3420 ,7,/en/koop/waalre/huis-42979034-prins-constantijnlaan-10/
Elzenlaan 6,woonhuis,2231 XE,Rijnsburg,799000,203 ,309 ,8,/en/koop/rijnsburg/huis-42979753-elzenlaan-6/
Lutulistate 68,woonhuis,6716 NS,Ede,350000,108 ,185 ,5,/en/koop/ede/huis-42979709-lutulistate-68/
Waterlelie 2,woonhuis,8316 NN,Marknesse,685000,254 ,621 ,9,/en/koop/marknesse/huis-42979703-waterlelie-2/
Franseweg 45,woonhuis,4651 GE,Steenbergen (NB),289000,101 ,205 ,4,/en/koop/steenbergen-nb/huis-88333321-franseweg-45/
Han Hoekstrahof 92,woonhuis,1628 WS,Hoorn (NH),498000,202 ,200 ,8,/en/koop/hoorn-nh/huis-42979624-han-hoekstrahof-92/
van Hattumstraat 28,woonhuis,4437 AG,Ellewoutsdijk,239000,80 ,209 ,3,/en/koop/ellewoutsdijk/huis-42979673-van-hattumstraat-28/
Bomela 13,woonhuis,5301 NL,Zaltbommel,895000,227 ,1030 ,5,/en/koop/zaltbommel/huis-42979558-bomela-13/
Prins Bernhardlaan 85,woonhuis,3241 TA,Middelharnis,775000,144 ,519 ,5,/en/koop/middelharnis/huis-42978305-prins-bernhardlaan-85/
Wissinksdijk 84,woonhuis,7548 PD,Enschede,835000,213 ,580 ,4,/en/koop/enschede/huis-42978948-wissinksdijk-84/
Kerkweg 10,woonhuis,2641 GD,Pijnacker,460000,148 ,132 ,6,/en/koop/pijnacker/huis-42978859-kerkweg-10/
Hogenkamp 9,woonhuis,6658 HA,Beneden-Leeuwen,385000,139 ,155 ,5,/en/koop/beneden-leeuwen/huis-42978861-hogenkamp-9/
Heveland 14,woonhuis,4617 MA,Bergen op Zoom,649000,182 ,478 ,7,/en/koop/bergen-op-zoom/huis-42978743-heveland-14/
Kolthoornseweg 18 1,woonhuis,8181 ND,Heerde,825000,185 ,990 ,5,/en/koop/heerde/huis-42978650-kolthoornseweg-18-1/
Rijksstraatweg 98 E,woonhuis,9752 BJ,Haren (GR),525000,140 ,268 ,5,/en/koop/haren-gr/huis-42977856-rijksstraatweg-98-e/
Kapperallee 42,woonhuis,7211 CG,Eefde,825000,258 ,828 ,7,/en/koop/eefde/huis-42976392-kapperallee-42/
Bernhardstraat 92,woonhuis,7491 ED,Delden,295000,90 ,165 ,4,/en/koop/delden/huis-42976461-bernhardstraat-92/
Weusdijk 1,woonhuis,7261 NG,Ruurlo,895000,218 ,10295 ,5,/en/koop/ruurlo/huis-42975975-weusdijk-1/
Leurschans 58,woonhuis,4651 WJ,Steenbergen (NB),374000,100 ,213 ,5,/en/koop/steenbergen-nb/huis-88333422-leurschans-58/
Nieuwstraat 23 - 25,woonhuis,3311 XR,Dordrecht,439000,162 ,73 ,5,/en/koop/dordrecht/huis-42978148-nieuwstraat-23-25/
Leusveenweg 33,woonhuis,7556 VA,Hengelo (OV),650000,151 ,897 ,7,/en/koop/hengelo-ov/huis-42977645-leusveenweg-33/
Boogerdlaan 16,woonhuis,4484 SV,Kortgene,775000,180 ,822 ,6,/en/koop/kortgene/huis-42979920-boogerdlaan-16/
Nassaulaan 23,woonhuis,9901 HZ,Appingedam,549000,201 ,580 ,7,/en/koop/appingedam/huis-42978657-nassaulaan-23/
Wolvepad 63,woonhuis,5351 CW,Berghem,375000,145 ,268 ,6,/en/koop/berghem/huis-88333191-wolvepad-63/
Langendijk 44,woonhuis,5045 GT,Tilburg,795000,192 ,783 ,5,/en/koop/tilburg/huis-88331417-langendijk-44/
Lange Groenendaal 93,woonhuis,2801 LS,Gouda,375000,126 ,86 ,5,/en/koop/gouda/huis-42978872-lange-groenendaal-93/
Borglaan 11,woonhuis,9301 ZE,Roden,639000,165 ,582 ,6,/en/koop/roden/huis-42977038-borglaan-11/
Steenovenstraat 23,woonhuis,5464 VV,Veghel,415000,138 ,368 ,6,/en/koop/veghel/huis-88332141-steenovenstraat-23/
Archerpad 8 *,woonhuis,1324 ZZ,Almere,225000,70 ,70 ,3,/en/koop/almere/huis-42979784-archerpad-8/
De Spiering 14,woonhuis,5374 GL,Schaijk,1050000,288 ,1360 ,5,/en/koop/schaijk/huis-88333613-de-spiering-14/
Trapweg 1,woonhuis,1741 NS,Schagen,2500000,854 ,3220 ,19,/en/koop/schagen/huis-88333543-trapweg-1/
